Organismo;Conjuntos de datos;No evaluables;1 Estrella;2 Estrellas;3 Estrellas;4 Estrellas
"Ayuntamiento de Alcobendas";199;0;0;0;191;8
"Ayuntamiento de Alcoy";20;0;0;0;20;0
"Ayuntamiento de Arganda del Rey";625;0;18;6;601;0
"Ayuntamiento de Badia del Vallès";11;0;0;0;0;11
"Ayuntamiento de Barcelona";462;29;0;30;382;21
"Ayuntamiento de Bilbao";190;0;0;12;176;2
"Ayuntamiento de Cartagena";20;0;0;0;0;20
"Ayuntamiento de Cáceres";116;0;0;0;0;116
"Ayuntamiento de Donostia/San Sebastián";65;0;0;0;64;1
"Ayuntamiento de Gijón";781;16;0;16;630;119
"Ayuntamiento de Jerez de la Frontera";1;0;0;0;1;0
"Ayuntamiento de L'Hospitalet de Llobregat";2;0;0;0;2;0
"Ayuntamiento de Las Palmas de Gran Canaria";90;0;0;0;63;27
"Ayuntamiento de Lorca";188;1;0;4;179;4
"Ayuntamiento de Madrid";436;33;0;75;258;70
"Ayuntamiento de Manlleu";7;0;0;0;7;0
"Ayuntamiento de Martos";3;0;0;0;3;0
"Ayuntamiento de Málaga";875;7;33;239;596;0
"Ayuntamiento de Pamplona";14;2;0;7;5;0
"Ayuntamiento de Rivas-Vaciamadrid";57;0;0;1;48;8
"Ayuntamiento de San Sebastián de los Reyes";51;0;0;36;15;0
"Ayuntamiento de Sant Feliu de Llobregat";47;0;1;1;8;37
"Ayuntamiento de Santa Cruz de Tenerife";90;0;0;2;21;67
"Ayuntamiento de Santander";88;0;0;2;4;82
"Ayuntamiento de Tarragona";1;0;0;0;1;0
"Ayuntamiento de Torrent";175;0;0;1;174;0
"Ayuntamiento de Valencia";115;1;0;4;106;4
"Ayuntamiento de Villanueva de la Serena";46;0;0;2;44;0
"Ayuntamiento de Vitoria-Gasteiz";150;8;2;60;80;0
"Ayuntamiento de Zaragoza";136;55;0;16;62;3
"Ayuntamiento de la Pobla de Vallbona";2;0;0;1;1;0
